researcher_id,full_name,faculty_id,primary_program_id,academic_background,profile_summary,research_interests,methodological_expertise,application_domains,years_experience,active
INV-081,Nicolás Arias Gómez,FAC-003,PRG-009,PhD en área afín a analítica empresarial; formación profesional relacionada con Economía.,"Investigador con experiencia en analítica empresarial y riesgo financiero, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",analítica empresarial; riesgo financiero,simulación; procesamiento de señales,riesgo financiero; series temporales,13,True
INV-082,Laura Martínez Salazar,FAC-003,PRG-009,PhD en área afín a optimización; formación profesional relacionada con Economía.,"Investigador con experiencia en optimización y series temporales, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",optimización; series temporales,clasificación supervisada; simulación,series temporales; optimización,16,True
INV-083,Jorge Silva Hernández,FAC-003,PRG-007,MSc en área afín a economía regional; formación profesional relacionada con Administración de Empresas.,"Investigador con experiencia en economía regional y series temporales, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",economía regional; series temporales,análisis causal; modelos probabilísticos,series temporales; riesgo financiero,19,True
INV-084,Juliana Navarro Arias,FAC-003,PRG-008,PhD en área afín a economía regional; formación profesional relacionada con Ingeniería Financiera.,"Investigador con experiencia en economía regional y innovación organizacional, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",economía regional; innovación organizacional,simulación; modelos probabilísticos,innovación organizacional; analítica empresarial,4,True
INV-085,David Pérez Vargas,FAC-003,PRG-008,MSc en área afín a innovación organizacional; formación profesional relacionada con Ingeniería Financiera.,"Investigador con experiencia en innovación organizacional y optimización, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",innovación organizacional; optimización,modelamiento estadístico; modelos probabilísticos,optimización; economía regional,7,True
INV-086,María Restrepo Acosta,FAC-003,PRG-008,PhD en área afín a optimización; formación profesional relacionada con Ingeniería Financiera.,"Investigador con experiencia en optimización y innovación organizacional, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",optimización; innovación organizacional,diseño experimental; series temporales,innovación organizacional; innovación organizacional,10,True
INV-087,Felipe Ospina Ortiz,FAC-003,PRG-008,PhD en área afín a riesgo financiero; formación profesional relacionada con Ingeniería Financiera.,"Investigador con experiencia en riesgo financiero y series temporales, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",riesgo financiero; series temporales,clasificación supervisada; simulación,series temporales; series temporales,13,True
INV-088,Diana Vargas Giraldo,FAC-003,PRG-009,MSc en área afín a economía regional; formación profesional relacionada con Economía.,"Investigador con experiencia en economía regional y optimización, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",economía regional; optimización,diseño experimental; modelamiento estadístico,optimización; optimización,16,True
INV-089,Santiago Mejía Restrepo,FAC-003,PRG-009,PhD en área afín a analítica empresarial; formación profesional relacionada con Economía.,"Investigador con experiencia en analítica empresarial y optimización, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",analítica empresarial; optimización,optimización; simulación,optimización; riesgo financiero,19,True
INV-090,Ana Gómez López,FAC-003,PRG-007,MSc en área afín a optimización; formación profesional relacionada con Administración de Empresas.,"Investigador con experiencia en optimización y series temporales, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",optimización; series temporales,optimización; análisis causal,series temporales; analítica empresarial,4,True
INV-091,Daniel Moreno Valencia,FAC-003,PRG-007,PhD en área afín a economía regional; formación profesional relacionada con Administración de Empresas.,"Investigador con experiencia en economía regional y series temporales, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",economía regional; series temporales,series temporales; procesamiento de señales,series temporales; economía regional,7,True
INV-092,Paula Cárdenas Torres,FAC-003,PRG-007,PhD en área afín a riesgo financiero; formación profesional relacionada con Administración de Empresas.,"Investigador con experiencia en riesgo financiero y economía regional, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",riesgo financiero; economía regional,análisis causal; modelamiento estadístico,economía regional; innovación organizacional,10,True
INV-093,Mateo López Navarro,FAC-003,PRG-008,MSc en área afín a innovación organizacional; formación profesional relacionada con Ingeniería Financiera.,"Investigador con experiencia en innovación organizacional y series temporales, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",innovación organizacional; series temporales,recuperación de información; modelamiento estadístico,series temporales; series temporales,13,True
INV-094,Adriana Mendoza Moreno,FAC-003,PRG-009,PhD en área afín a riesgo financiero; formación profesional relacionada con Economía.,"Investigador con experiencia en riesgo financiero y optimización, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",riesgo financiero; optimización,recuperación de información; series temporales,optimización; optimización,16,True
INV-095,Andrés Acosta Montoya,FAC-003,PRG-007,MSc en área afín a series temporales; formación profesional relacionada con Administración de Empresas.,"Investigador con experiencia en series temporales y optimización, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",series temporales; optimización,clasificación supervisada; diseño experimental,optimización; riesgo financiero,19,True
INV-096,Valentina Ramírez Cardona,FAC-003,PRG-008,PhD en área afín a innovación organizacional; formación profesional relacionada con Ingeniería Financiera.,"Investigador con experiencia en innovación organizacional y analítica empresarial, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",innovación organizacional; analítica empresarial,procesamiento de señales; clasificación supervisada,analítica empresarial; analítica empresarial,4,True
INV-097,Alejandro Salazar Martínez,FAC-003,PRG-007,PhD en área afín a innovación organizacional; formación profesional relacionada con Administración de Empresas.,"Investigador con experiencia en innovación organizacional y riesgo financiero, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",innovación organizacional; riesgo financiero,modelamiento estadístico; análisis causal,riesgo financiero; economía regional,7,True
INV-098,Mónica Montoya Mejía,FAC-003,PRG-007,MSc en área afín a analítica empresarial; formación profesional relacionada con Administración de Empresas.,"Investigador con experiencia en analítica empresarial y optimización, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",procesamiento de señales fisiológicas; ECG; wearables,procesamiento de señales; clasificación,salud; telesalud,10,True
INV-099,Juan Castro Ramírez,FAC-003,PRG-009,PhD en área afín a economía regional; formación profesional relacionada con Economía.,"Investigador con experiencia en economía regional y optimización, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",economía regional; optimización,series temporales; modelos probabilísticos,optimización; series temporales,13,True
INV-100,Natalia Valencia Suárez,FAC-004,PRG-012,MSc en área afín a currículo; formación profesional relacionada con Ciencias de la Educación.,"Investigador con experiencia en currículo y analítica del aprendizaje, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",currículo; analítica del aprendizaje,series temporales; análisis causal,analítica del aprendizaje; permanencia estudiantil,16,True
INV-101,Miguel Rodríguez Rojas,FAC-004,PRG-010,PhD en área afín a currículo; formación profesional relacionada con Licenciatura en Tecnología e Informática.,"Investigador con experiencia en currículo y analítica del aprendizaje, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",currículo; analítica del aprendizaje,modelamiento estadístico; clasificación supervisada,analítica del aprendizaje; currículo,19,True
INV-102,Elena Ortiz Ospina,FAC-004,PRG-012,PhD en área afín a analítica del aprendizaje; formación profesional relacionada con Ciencias de la Educación.,"Investigador con experiencia en analítica del aprendizaje y cognición, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",analítica del aprendizaje; cognición,modelamiento estadístico; diseño experimental,cognición; procesamiento de lenguaje,4,True
INV-103,Carlos Suárez Mendoza,FAC-004,PRG-012,MSc en área afín a currículo; formación profesional relacionada con Ciencias de la Educación.,"Investigador con experiencia en currículo y tecnología educativa, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",currículo; tecnología educativa,clasificación supervisada; simulación,tecnología educativa; analítica del aprendizaje,7,True
INV-104,Sofía Hernández Rodríguez,FAC-004,PRG-010,PhD en área afín a currículo; formación profesional relacionada con Licenciatura en Tecnología e Informática.,"Investigador con experiencia en currículo y tecnología educativa, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",currículo; tecnología educativa,diseño experimental; optimización,tecnología educativa; tecnología educativa,10,True
INV-105,Sebastián Cardona Quintero,FAC-004,PRG-010,MSc en área afín a procesamiento de lenguaje; formación profesional relacionada con Licenciatura en Tecnología e Informática.,"Investigador con experiencia en procesamiento de lenguaje y currículo, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",procesamiento de lenguaje; currículo,simulación; diseño experimental,currículo; cognición,13,True
INV-106,Lucía Cruz Pérez,FAC-004,PRG-011,PhD en área afín a tecnología educativa; formación profesional relacionada con Psicología.,"Investigador con experiencia en tecnología educativa y analítica del aprendizaje, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",tecnología educativa; analítica del aprendizaje,optimización; series temporales,analítica del aprendizaje; permanencia estudiantil,16,True
INV-107,Tomás Torres Cárdenas,FAC-004,PRG-010,PhD en área afín a permanencia estudiantil; formación profesional relacionada con Licenciatura en Tecnología e Informática.,"Investigador con experiencia en permanencia estudiantil y procesamiento de lenguaje, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",permanencia estudiantil; procesamiento de lenguaje,análisis causal; optimización,procesamiento de lenguaje; currículo,19,True
INV-108,Camila Quintero Castro,FAC-004,PRG-010,MSc en área afín a currículo; formación profesional relacionada con Licenciatura en Tecnología e Informática.,"Investigador con experiencia en currículo y analítica del aprendizaje, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",currículo; analítica del aprendizaje,optimización; modelos probabilísticos,analítica del aprendizaje; procesamiento de lenguaje,4,True
INV-109,Ricardo Giraldo Cruz,FAC-004,PRG-010,PhD en área afín a procesamiento de lenguaje; formación profesional relacionada con Licenciatura en Tecnología e Informática.,"Investigador con experiencia en procesamiento de lenguaje y analítica del aprendizaje, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",procesamiento de lenguaje; analítica del aprendizaje,diseño experimental; simulación,analítica del aprendizaje; analítica del aprendizaje,7,True
INV-110,Carolina Rojas Silva,FAC-004,PRG-011,MSc en área afín a cognición; formación profesional relacionada con Psicología.,"Investigador con experiencia en cognición y permanencia estudiantil, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",cognición; permanencia estudiantil,simulación; optimización,permanencia estudiantil; tecnología educativa,10,True
INV-111,Nicolás Arias Gómez,FAC-004,PRG-011,PhD en área afín a analítica del aprendizaje; formación profesional relacionada con Psicología.,"Investigador con experiencia en analítica del aprendizaje y permanencia estudiantil, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",analítica del aprendizaje; permanencia estudiantil,series temporales; clasificación supervisada,permanencia estudiantil; cognición,13,True
INV-112,Laura Martínez Salazar,FAC-004,PRG-010,PhD en área afín a procesamiento de lenguaje; formación profesional relacionada con Licenciatura en Tecnología e Informática.,"Investigador con experiencia en procesamiento de lenguaje y permanencia estudiantil, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",procesamiento de lenguaje; permanencia estudiantil,clasificación supervisada; recuperación de información,permanencia estudiantil; permanencia estudiantil,16,True
INV-113,Jorge Silva Hernández,FAC-004,PRG-010,MSc en área afín a currículo; formación profesional relacionada con Licenciatura en Tecnología e Informática.,"Investigador con experiencia en currículo y permanencia estudiantil, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",currículo; permanencia estudiantil,simulación; clasificación supervisada,permanencia estudiantil; currículo,19,True
INV-114,Juliana Navarro Arias,FAC-004,PRG-010,PhD en área afín a currículo; formación profesional relacionada con Licenciatura en Tecnología e Informática.,"Investigador con experiencia en currículo y analítica del aprendizaje, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",currículo; analítica del aprendizaje,análisis causal; clasificación supervisada,analítica del aprendizaje; procesamiento de lenguaje,4,True
INV-115,David Pérez Vargas,FAC-004,PRG-011,MSc en área afín a analítica del aprendizaje; formación profesional relacionada con Psicología.,"Investigador con experiencia en analítica del aprendizaje y tecnología educativa, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",analítica del aprendizaje; tecnología educativa,análisis causal; modelamiento estadístico,tecnología educativa; analítica del aprendizaje,7,True
INV-116,María Restrepo Acosta,FAC-004,PRG-010,PhD en área afín a analítica del aprendizaje; formación profesional relacionada con Licenciatura en Tecnología e Informática.,"Investigador con experiencia en analítica del aprendizaje y permanencia estudiantil, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",analítica del aprendizaje; permanencia estudiantil,recuperación de información; análisis causal,permanencia estudiantil; tecnología educativa,10,True
INV-117,Felipe Ospina Ortiz,FAC-004,PRG-010,PhD en área afín a analítica del aprendizaje; formación profesional relacionada con Licenciatura en Tecnología e Informática.,"Investigador con experiencia en analítica del aprendizaje y permanencia estudiantil, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",analítica del aprendizaje; permanencia estudiantil,simulación; clasificación supervisada,permanencia estudiantil; cognición,13,True
INV-118,Diana Vargas Giraldo,FAC-004,PRG-012,MSc en área afín a currículo; formación profesional relacionada con Ciencias de la Educación.,"Investigador con experiencia en currículo y analítica del aprendizaje, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",currículo; analítica del aprendizaje,diseño experimental; recuperación de información,analítica del aprendizaje; permanencia estudiantil,16,True
INV-119,Santiago Mejía Restrepo,FAC-004,PRG-012,PhD en área afín a tecnología educativa; formación profesional relacionada con Ciencias de la Educación.,"Investigador con experiencia en tecnología educativa y permanencia estudiantil, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",tecnología educativa; permanencia estudiantil,clasificación supervisada; modelos probabilísticos,permanencia estudiantil; currículo,19,True
INV-120,Ana Gómez López,FAC-004,PRG-010,MSc en área afín a analítica del aprendizaje; formación profesional relacionada con Licenciatura en Tecnología e Informática.,"Investigador con experiencia en analítica del aprendizaje y permanencia estudiantil, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",analítica del aprendizaje; permanencia estudiantil,series temporales; clasificación supervisada,permanencia estudiantil; procesamiento de lenguaje,4,True
INV-121,Daniel Moreno Valencia,FAC-004,PRG-012,PhD en área afín a currículo; formación profesional relacionada con Ciencias de la Educación.,"Investigador con experiencia en currículo y analítica del aprendizaje, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",currículo; analítica del aprendizaje,modelamiento estadístico; procesamiento de señales,analítica del aprendizaje; analítica del aprendizaje,7,True
INV-122,Paula Cárdenas Torres,FAC-004,PRG-012,PhD en área afín a analítica del aprendizaje; formación profesional relacionada con Ciencias de la Educación.,"Investigador con experiencia en analítica del aprendizaje y tecnología educativa, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",analítica del aprendizaje; tecnología educativa,clasificación supervisada; análisis causal,tecnología educativa; tecnología educativa,10,True
INV-123,Mateo López Navarro,FAC-004,PRG-010,MSc en área afín a tecnología educativa; formación profesional relacionada con Licenciatura en Tecnología e Informática.,"Investigador con experiencia en tecnología educativa y currículo, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",tecnología educativa; currículo,optimización; series temporales,currículo; cognición,13,True
INV-124,Adriana Mendoza Moreno,FAC-004,PRG-010,PhD en área afín a permanencia estudiantil; formación profesional relacionada con Licenciatura en Tecnología e Informática.,"Investigador con experiencia en permanencia estudiantil y cognición, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",permanencia estudiantil; cognición,series temporales; procesamiento de señales,cognición; permanencia estudiantil,16,True
INV-125,Andrés Acosta Montoya,FAC-004,PRG-010,MSc en área afín a permanencia estudiantil; formación profesional relacionada con Licenciatura en Tecnología e Informática.,"Investigador con experiencia en permanencia estudiantil y cognición, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",permanencia estudiantil; cognición,clasificación supervisada; simulación,cognición; currículo,19,True
INV-126,Valentina Ramírez Cardona,FAC-004,PRG-010,PhD en área afín a cognición; formación profesional relacionada con Licenciatura en Tecnología e Informática.,"Investigador con experiencia en cognición y permanencia estudiantil, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",cognición; permanencia estudiantil,recuperación de información; simulación,permanencia estudiantil; procesamiento de lenguaje,4,True
INV-127,Alejandro Salazar Martínez,FAC-004,PRG-012,PhD en área afín a procesamiento de lenguaje; formación profesional relacionada con Ciencias de la Educación.,"Investigador con experiencia en procesamiento de lenguaje y tecnología educativa, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",procesamiento de lenguaje; tecnología educativa,simulación; series temporales,tecnología educativa; analítica del aprendizaje,7,True
INV-128,Mónica Montoya Mejía,FAC-005,PRG-015,MSc en área afín a calidad del agua; formación profesional relacionada con Ingeniería Civil.,"Investigador con experiencia en calidad del agua y monitoreo ambiental, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",calidad del agua; monitoreo ambiental,recuperación de información; clasificación supervisada,monitoreo ambiental; monitoreo ambiental,10,True
INV-129,Juan Castro Ramírez,FAC-005,PRG-014,PhD en área afín a infraestructura inteligente; formación profesional relacionada con Gestión Ambiental.,"Investigador con experiencia en infraestructura inteligente y cambio climático, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",infraestructura inteligente; cambio climático,diseño experimental; modelos probabilísticos,cambio climático; territorio,13,True
INV-130,Natalia Valencia Suárez,FAC-005,PRG-015,MSc en área afín a sostenibilidad; formación profesional relacionada con Ingeniería Civil.,"Investigador con experiencia en sostenibilidad y calidad del agua, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",sostenibilidad; calidad del agua,clasificación supervisada; modelos probabilísticos,calidad del agua; sostenibilidad,16,True
INV-131,Miguel Rodríguez Rojas,FAC-005,PRG-015,PhD en área afín a sostenibilidad; formación profesional relacionada con Ingeniería Civil.,"Investigador con experiencia en sostenibilidad y calidad del agua, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",sostenibilidad; calidad del agua,clasificación supervisada; simulación,calidad del agua; calidad del agua,19,True
INV-132,Elena Ortiz Ospina,FAC-005,PRG-015,PhD en área afín a sostenibilidad; formación profesional relacionada con Ingeniería Civil.,"Investigador con experiencia en sostenibilidad y cambio climático, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",sostenibilidad; cambio climático,recuperación de información; clasificación supervisada,cambio climático; cambio climático,4,True
INV-133,Carlos Suárez Mendoza,FAC-005,PRG-015,MSc en área afín a infraestructura inteligente; formación profesional relacionada con Ingeniería Civil.,"Investigador con experiencia en infraestructura inteligente y calidad del agua, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",infraestructura inteligente; calidad del agua,series temporales; simulación,calidad del agua; infraestructura inteligente,7,True
INV-134,Sofía Hernández Rodríguez,FAC-005,PRG-015,PhD en área afín a cambio climático; formación profesional relacionada con Ingeniería Civil.,"Investigador con experiencia en cambio climático y sostenibilidad, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",cambio climático; sostenibilidad,modelos probabilísticos; procesamiento de señales,sostenibilidad; monitoreo ambiental,10,True
INV-135,Sebastián Cardona Quintero,FAC-005,PRG-015,MSc en área afín a cambio climático; formación profesional relacionada con Ingeniería Civil.,"Investigador con experiencia en cambio climático y calidad del agua, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",cambio climático; calidad del agua,optimización; modelamiento estadístico,calidad del agua; territorio,13,True
INV-136,Lucía Cruz Pérez,FAC-005,PRG-015,PhD en área afín a monitoreo ambiental; formación profesional relacionada con Ingeniería Civil.,"Investigador con experiencia en monitoreo ambiental y cambio climático, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",monitoreo ambiental; cambio climático,procesamiento de señales; modelamiento estadístico,cambio climático; sostenibilidad,16,True
INV-137,Tomás Torres Cárdenas,FAC-005,PRG-015,PhD en área afín a calidad del agua; formación profesional relacionada con Ingeniería Civil.,"Investigador con experiencia en calidad del agua y sostenibilidad, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",calidad del agua; monitoreo ambiental; sostenibilidad,análisis multivariado; diseño experimental,ambiente; agua,19,True
INV-138,Camila Quintero Castro,FAC-005,PRG-014,MSc en área afín a cambio climático; formación profesional relacionada con Gestión Ambiental.,"Investigador con experiencia en cambio climático y territorio, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",cambio climático; territorio,procesamiento de señales; optimización,territorio; cambio climático,4,True
INV-139,Ricardo Giraldo Cruz,FAC-005,PRG-014,PhD en área afín a cambio climático; formación profesional relacionada con Gestión Ambiental.,"Investigador con experiencia en cambio climático y sostenibilidad, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",cambio climático; sostenibilidad,modelos probabilísticos; series temporales,sostenibilidad; infraestructura inteligente,7,True
INV-140,Carolina Rojas Silva,FAC-005,PRG-014,MSc en área afín a territorio; formación profesional relacionada con Gestión Ambiental.,"Investigador con experiencia en territorio y sostenibilidad, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",territorio; sostenibilidad,simulación; recuperación de información,sostenibilidad; monitoreo ambiental,10,True
INV-141,Nicolás Arias Gómez,FAC-005,PRG-013,PhD en área afín a infraestructura inteligente; formación profesional relacionada con Ingeniería Ambiental.,"Investigador con experiencia en infraestructura inteligente y territorio, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",infraestructura inteligente; territorio,series temporales; optimización,territorio; territorio,13,True
INV-142,Laura Martínez Salazar,FAC-005,PRG-015,PhD en área afín a calidad del agua; formación profesional relacionada con Ingeniería Civil.,"Investigador con experiencia en calidad del agua y monitoreo ambiental, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",calidad del agua; monitoreo ambiental,recuperación de información; análisis causal,monitoreo ambiental; sostenibilidad,16,True
INV-143,Jorge Silva Hernández,FAC-005,PRG-014,MSc en área afín a territorio; formación profesional relacionada con Gestión Ambiental.,"Investigador con experiencia en territorio y calidad del agua, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",territorio; calidad del agua,diseño experimental; optimización,calidad del agua; calidad del agua,19,True
INV-144,Juliana Navarro Arias,FAC-005,PRG-013,PhD en área afín a monitoreo ambiental; formación profesional relacionada con Ingeniería Ambiental.,"Investigador con experiencia en monitoreo ambiental y cambio climático, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",monitoreo ambiental; cambio climático,modelos probabilísticos; clasificación supervisada,cambio climático; cambio climático,4,True
INV-145,David Pérez Vargas,FAC-005,PRG-014,MSc en área afín a sostenibilidad; formación profesional relacionada con Gestión Ambiental.,"Investigador con experiencia en sostenibilidad y cambio climático, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",sostenibilidad; cambio climático,modelamiento estadístico; modelos probabilísticos,cambio climático; infraestructura inteligente,7,True
INV-146,María Restrepo Acosta,FAC-005,PRG-013,PhD en área afín a cambio climático; formación profesional relacionada con Ingeniería Ambiental.,"Investigador con experiencia en cambio climático y calidad del agua, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",cambio climático; calidad del agua,modelos probabilísticos; diseño experimental,calidad del agua; monitoreo ambiental,10,True
INV-147,Felipe Ospina Ortiz,FAC-005,PRG-015,PhD en área afín a calidad del agua; formación profesional relacionada con Ingeniería Civil.,"Investigador con experiencia en calidad del agua y sostenibilidad, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",calidad del agua; sostenibilidad,optimización; análisis causal,sostenibilidad; territorio,13,True
INV-148,Diana Vargas Giraldo,FAC-005,PRG-014,MSc en área afín a infraestructura inteligente; formación profesional relacionada con Gestión Ambiental.,"Investigador con experiencia en infraestructura inteligente y sostenibilidad, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",infraestructura inteligente; sostenibilidad,series temporales; modelos probabilísticos,sostenibilidad; sostenibilidad,16,True
INV-149,Santiago Mejía Restrepo,FAC-005,PRG-015,PhD en área afín a calidad del agua; formación profesional relacionada con Ingeniería Civil.,"Investigador con experiencia en calidad del agua y sostenibilidad, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",calidad del agua; sostenibilidad,modelos probabilísticos; diseño experimental,sostenibilidad; calidad del agua,19,True
INV-150,Ana Gómez López,FAC-005,PRG-013,MSc en área afín a sostenibilidad; formación profesional relacionada con Ingeniería Ambiental.,"Investigador con experiencia en sostenibilidad y monitoreo ambiental, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",sostenibilidad; monitoreo ambiental,clasificación supervisada; modelos probabilísticos,monitoreo ambiental; cambio climático,4,True
INV-151,Daniel Moreno Valencia,FAC-005,PRG-015,PhD en área afín a territorio; formación profesional relacionada con Ingeniería Civil.,"Investigador con experiencia en territorio y infraestructura inteligente, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",territorio; infraestructura inteligente,recuperación de información; series temporales,infraestructura inteligente; infraestructura inteligente,7,True
INV-152,Paula Cárdenas Torres,FAC-005,PRG-013,PhD en área afín a sostenibilidad; formación profesional relacionada con Ingeniería Ambiental.,"Investigador con experiencia en sostenibilidad y infraestructura inteligente, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",sostenibilidad; infraestructura inteligente,recuperación de información; modelos probabilísticos,infraestructura inteligente; monitoreo ambiental,10,True
INV-153,Mateo López Navarro,FAC-005,PRG-013,MSc en área afín a infraestructura inteligente; formación profesional relacionada con Ingeniería Ambiental.,"Investigador con experiencia en infraestructura inteligente y sostenibilidad, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",infraestructura inteligente; sostenibilidad,modelos probabilísticos; diseño experimental,sostenibilidad; territorio,13,True
INV-154,Adriana Mendoza Moreno,FAC-005,PRG-015,PhD en área afín a monitoreo ambiental; formación profesional relacionada con Ingeniería Civil.,"Investigador con experiencia en monitoreo ambiental y territorio, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",monitoreo ambiental; territorio,diseño experimental; series temporales,territorio; sostenibilidad,16,True
INV-155,Andrés Acosta Montoya,FAC-006,PRG-016,MSc en área afín a series temporales; formación profesional relacionada con Matemáticas Aplicadas.,"Investigador con experiencia en series temporales y NLP, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",series temporales; NLP,series temporales; simulación,NLP; NLP,19,True
INV-156,Valentina Ramírez Cardona,FAC-006,PRG-017,PhD en área afín a modelamiento matemático; formación profesional relacionada con Física.,"Investigador con experiencia en modelamiento matemático y series temporales, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",modelamiento matemático; series temporales,recuperación de información; series temporales,series temporales; series temporales,4,True
INV-157,Alejandro Salazar Martínez,FAC-006,PRG-016,PhD en área afín a IA explicable; formación profesional relacionada con Matemáticas Aplicadas.,"Investigador con experiencia en IA explicable y series temporales, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",IA explicable; series temporales,modelos probabilísticos; diseño experimental,series temporales; IA explicable,7,True
INV-158,Mónica Montoya Mejía,FAC-006,PRG-017,MSc en área afín a modelamiento matemático; formación profesional relacionada con Física.,"Investigador con experiencia en modelamiento matemático y NLP, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",modelamiento matemático; NLP,modelamiento estadístico; recuperación de información,NLP; modelamiento matemático,10,True
INV-159,Juan Castro Ramírez,FAC-006,PRG-016,PhD en área afín a modelamiento matemático; formación profesional relacionada con Matemáticas Aplicadas.,"Investigador con experiencia en modelamiento matemático y IA explicable, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",series temporales; detección de anomalías; aprendizaje estadístico,series temporales; modelos probabilísticos,ambiente; industria; energía,13,True
INV-160,Natalia Valencia Suárez,FAC-006,PRG-017,MSc en área afín a modelamiento matemático; formación profesional relacionada con Física.,"Investigador con experiencia en modelamiento matemático y instrumentación, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",modelamiento matemático; instrumentación,análisis causal; simulación,instrumentación; instrumentación,16,True
INV-161,Miguel Rodríguez Rojas,FAC-006,PRG-018,PhD en área afín a instrumentación; formación profesional relacionada con Ciencia de Datos.,"Investigador con experiencia en instrumentación y modelamiento matemático, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",instrumentación; modelamiento matemático,optimización; modelamiento estadístico,modelamiento matemático; NLP,19,True
